MARCOS REATEGUI ,(PSD-AP.),"Permita-me declarar o voto. Nação  brasileira,  parece  faltar  a  uma  parte  do  Judiciário  a  compreensão  do que  está  em  curso  no  País.  Seja  em  razão  do  açodamento  do  Procurador  Janot, seja por imprudência de alguns Ministros do STF, tem-se um quadro de instabilidade que  gera  crise,  fere,  mata  nas  ruas  e  nos  hospitais.  Não  posso  compactuar  com isso. Por esta razão, voto “sim” ao relatório da CCJC.",YES
BETO  FARO  ,(PT-PA.),"Em  defesa  dos  direitos  dos  trabalhadores, contra  essas  reformas  que  retiram  direitos,  pela  democracia,  pelo  legado  do Presidente Lula no meu Estado, que fez grande obra de infraestrutura, de serviços, eu voto “não” a este relatório, Sr. Presidente.",NO
BETO  SALAME  ,(PP-PA.),"Sr.  Presidente,  em  respeito  à decisão do meu partido, o Partido Progressista, que fechou questão pensando nos milhões  de  brasileiros  que  estão  desempregados  e  que  não  aguentam  mais  uma crise política, eu voto “sim” ao relatório.",YES
DELEGADO ÉDER MAURO ,(PSD-PA.),"Sr. Presidente, em nome da estabilidade deste País, pelo emprego do povo brasileiro, mas, principalmente, para que  essa  esquerda  comunista  não  pense  em  ressuscitar  bandidos  já  falecidos politicamente  que  destruíram  e  roubaram  este  País,  inclusive  com  implantação  de proposta de destruição da família, eu voto “sim”.",YES 
EDMILSON  RODRIGUES  ,(PSOL-PA.),"Sr.  Presidente,  um  rotundo “não”,  para  que  a  investigação  do  corrupto  Michel  Temer  prossiga,  porque  não  é possível  admitir  a  perda  de  direitos  do  nosso  povo  e  a  violência  contra  indígenas negros e trabalhadores. À luta!",NO
ELCIONE BARBALHO ,(PMDB-PA.),"Pelo relatório, eu voto “sim”.",YES
FRANCISCO  CHAPADINHA  ,(PODE-PA.),"Voto  “sim”  ao relatório.",YES
HÉLIO LEITE ,(DEM-PA.),"Voto “sim”.",YES
JOAQUIM PASSARINHO  ,(PSD-PA.),"Sr. Presidente, sonhando com um País mais ético, em que todos serão iguais perante a lei, voto pela continuidade do processo.",NO
JOSÉ  PRIANTE  ,(PMDB-PA.),"Sr.  Presidente,  o  Presidente  Michel Temer  terá  a  oportunidade  de  apresentar  a  sua  defesa  e  de  se  defender  no momento oportuno. Contra os sobressaltos, eu acompanho o parecer da Comissão de Constituição e Justiça e de Cidadania.",YES
